"subj","t0","st0"
1,0.25750264893275,0.077250794679825
2,0.221126635695875,0.0663379907087626
3,0.16922640213088,0.050767920639264
4,0.218373413291007,0.0655120239873021
5,0.176691320416571,0.0530073961249714
6,0.14617983833776,0.0438539515013279
7,0.249709234995477,0.074912770498643
8,0.226055872077856,0.0678167616233569
9,0.205645468442654,0.0616936405327963
10,0.177062730609582,0.0531188191828746
11,0.217786437594493,0.0653359312783479
12,0.199761952390677,0.059928585717203
13,0.205150088135203,0.0615450264405609
14,0.216894935109234,0.0650684805327703
15,0.229476409125579,0.0688429227376738
16,0.1786661374182,0.0535998412254598
17,0.200295387323518,0.0600886161970553
18,0.240253437074947,0.0720760311224842
19,0.204340946181781,0.0613022838545342
20,0.181242980771532,0.0543728942314595
21,0.206626866205278,0.0619880598615834
22,0.220189000898526,0.0660567002695579
23,0.22255322364298,0.0667659670928941
24,0.166998782831672,0.0500996348495017
25,0.185488176079493,0.0556464528238479
26,0.236915493710109,0.0710746481130328
27,0.172666958914177,0.0518000876742532
28,0.162050193419134,0.0486150580257403
29,0.205248161148679,0.0615744483446038
30,0.21512718066879,0.0645381542006371
31,0.194870785680492,0.0584612357041477
32,0.185152814275813,0.0555458442827438
33,0.280901828245302,0.0842705484735905
34,0.200910153494288,0.0602730460482863
35,0.229096906199894,0.0687290718599681
36,0.163107734464905,0.0489323203394716
37,0.210445403041996,0.0631336209125989
38,0.189854570452258,0.0569563711356774
39,0.149566428024992,0.0448699284074976
40,0.242720942871164,0.0728162828613493
41,0.22754184820461,0.0682625544613828
42,0.230253964037449,0.0690761892112346
43,0.200542448363757,0.0601627345091272
44,0.17548481399703,0.052645444199109
45,0.189392602909557,0.0568177808728672
46,0.165522505520002,0.0496567516560005
47,0.259212869907549,0.0777638609722648
48,0.194457591259701,0.0583372773779104
49,0.214882843496098,0.0644648530488295
50,0.148918144750218,0.0446754434250655
51,0.23084970544819,0.0692549116344569
52,0.233290057545318,0.0699870172635955
53,0.21882716138599,0.0656481484157971
54,0.198631201408463,0.0595893604225388
55,0.225225672960106,0.0675677018880319
56,0.246567249843793,0.0739701749531378
57,0.201014581888939,0.0603043745666818
58,0.211946854925793,0.063584056477738
59,0.197438199385413,0.0592314598156239
60,0.314035812444156,0.0942107437332469
61,0.208074655900686,0.062422396770206
62,0.249431906896849,0.0748295720690546
63,0.204239747955046,0.0612719243865138
64,0.211150948801955,0.0633452846405865
65,0.224208520612018,0.0672625561836055
66,0.221821566599538,0.0665464699798613
67,0.146672176566886,0.0440016529700657
68,0.190989606576036,0.0572968819728108
69,0.258543893787065,0.0775631681361195
70,0.250934656148341,0.0752803968445023
71,0.234279474339777,0.0702838423019332
72,0.128064128716761,0.0384192386150284
73,0.196463589611739,0.0589390768835216
74,0.176971437745265,0.0530914313235795
75,0.179732233766903,0.053919670130071
76,0.231023087422209,0.0693069262266628
77,0.208643496796758,0.0625930490390273
78,0.239403519052842,0.0718210557158526
79,0.1766715826429,0.05300147479287
80,0.184049436205243,0.0552148308615728
81,0.212008717434653,0.063602615230396
82,0.247159313758349,0.0741477941275047
83,0.206594286734506,0.0619782860203518
84,0.186487639201864,0.0559462917605593
85,0.304918415880193,0.0914755247640578
86,0.247632918954659,0.0742898756863976
87,0.217341524741418,0.0652024574224254
88,0.229505487334217,0.068851646200265
89,0.166026058144684,0.0498078174434052
90,0.138418882769279,0.0415256648307837
91,0.243372729351014,0.0730118188053041
92,0.210650739166723,0.0631952217500168
93,0.194574118697534,0.0583722356092601
94,0.245559722052687,0.0736679166158061
95,0.172023744638497,0.051607123391549
96,0.186627099682677,0.0559881299048031
97,0.184475817310997,0.0553427451932992
98,0.16176424515096,0.0485292735452881
99,0.16689758086306,0.0500692742589179
100,0.152747669929673,0.045824300978902
