"subj","trial","condition","resp_type","a","v","rt","acc"
1,2,-1,1,1.63561220243585,1.16698572306082,0.889498106394557,1
1,3,-1,1,1.63561220243585,1.16698572306082,0.512661764538557,1
1,4,-1,1,1.63561220243585,1.16698572306082,1.07076426455242,1
1,5,-1,1,1.63561220243585,1.16698572306082,0.451512690550059,1
1,6,1,1,1.80763103938176,2.79087070743406,0.619807816973765,1
1,7,-1,1,1.63561220243585,1.16698572306082,0.59849703376464,1
1,8,1,1,1.80763103938176,2.79087070743406,0.448315242096498,1
1,9,-1,1,1.63561220243585,1.16698572306082,1.00320877135931,-1
1,10,1,-1,1.72291421820479,2.07530240878599,0.535681590412471,1
1,11,-1,1,1.63561220243585,1.16698572306082,0.295771671009544,1
1,12,-1,1,1.63561220243585,1.16698572306082,0.350118513310423,1
1,13,-1,1,1.63561220243585,1.16698572306082,0.860905103508706,1
1,14,1,1,1.80763103938176,2.79087070743406,0.701061241590182,1
1,15,-1,1,1.63561220243585,1.16698572306082,0.344167141497784,1
1,16,1,1,1.80763103938176,2.79087070743406,0.816202332416518,1
1,17,1,1,1.80763103938176,2.79087070743406,0.523522458818207,1
1,18,-1,1,1.63561220243585,1.16698572306082,0.325709860934798,1
1,19,-1,1,1.63561220243585,1.16698572306082,0.369479935114871,1
1,20,1,1,1.80763103938176,2.79087070743406,0.566033334630009,1
1,21,-1,1,1.63561220243585,1.16698572306082,0.647479469429982,1
1,22,1,1,1.80763103938176,2.79087070743406,0.421391693671179,1
1,23,-1,1,1.63561220243585,1.16698572306082,0.569355709947343,1
1,24,-1,1,1.63561220243585,1.16698572306082,0.792860814513477,1
1,25,-1,1,1.63561220243585,1.16698572306082,1.89148941563778,1
1,26,1,1,1.80763103938176,2.79087070743406,0.397988904336398,1
1,27,-1,1,1.63561220243585,1.16698572306082,1.24311837614284,1
1,28,1,1,1.80763103938176,2.79087070743406,0.410542231269037,1
1,29,1,1,1.80763103938176,2.79087070743406,0.454442833255861,1
1,30,-1,1,1.63561220243585,1.16698572306082,0.526536809443617,1
1,31,1,1,1.80763103938176,2.79087070743406,0.349178134647652,1
1,32,1,1,1.80763103938176,2.79087070743406,0.579875035497327,1
1,33,1,1,1.80763103938176,2.79087070743406,1.20954598222738,1
1,34,1,1,1.80763103938176,2.79087070743406,0.446494513426557,1
1,35,1,1,1.80763103938176,2.79087070743406,0.410332184973943,1
1,36,1,1,1.80763103938176,2.79087070743406,0.340698160036095,1
1,37,-1,1,1.63561220243585,1.16698572306082,0.381843493184199,1
1,38,-1,1,1.63561220243585,1.16698572306082,0.857315659446644,1
1,39,-1,1,1.63561220243585,1.16698572306082,1.65800191613637,-1
1,40,-1,-1,1.55895725269786,1.16684116071913,0.613608836247893,1
1,41,-1,1,1.63561220243585,1.16698572306082,0.838119941152188,1
1,42,1,1,1.80763103938176,2.79087070743406,0.531165975094971,1
1,43,1,1,1.80763103938176,2.79087070743406,0.365087176096267,1
1,44,-1,1,1.63561220243585,1.16698572306082,0.392146037638842,1
1,45,1,1,1.80763103938176,2.79087070743406,0.467118770875862,1
1,46,1,1,1.80763103938176,2.79087070743406,0.355696582843286,1
1,47,1,1,1.80763103938176,2.79087070743406,0.487485103340434,1
1,48,-1,1,1.63561220243585,1.16698572306082,1.9195382675375,1
1,49,-1,1,1.63561220243585,1.16698572306082,1.05883671663118,1
1,50,1,1,1.80763103938176,2.79087070743406,0.443661266472793,1
1,51,1,1,1.80763103938176,2.79087070743406,0.572479473839132,1
1,52,1,1,1.80763103938176,2.79087070743406,0.442165233198418,1
1,53,1,1,1.80763103938176,2.79087070743406,0.391613709505932,1
1,54,1,1,1.80763103938176,2.79087070743406,0.395074469734193,1
1,55,-1,1,1.63561220243585,1.16698572306082,0.662791793793679,1
1,56,-1,1,1.63561220243585,1.16698572306082,0.563321871998088,-1
1,57,-1,-1,1.55895725269786,1.16684116071913,0.306572751399702,1
1,58,-1,1,1.63561220243585,1.16698572306082,0.278237382245345,1
1,59,1,1,1.80763103938176,2.79087070743406,0.503447485726934,1
1,60,1,1,1.80763103938176,2.79087070743406,0.545751096762658,1
1,61,-1,1,1.63561220243585,1.16698572306082,0.544173599339937,1
1,62,-1,1,1.63561220243585,1.16698572306082,0.472587150165363,1
1,63,1,1,1.80763103938176,2.79087070743406,0.545397419887411,1
1,64,1,1,1.80763103938176,2.79087070743406,0.369815744865789,1
1,65,-1,1,1.63561220243585,1.16698572306082,0.390857134806352,1
1,66,1,1,1.80763103938176,2.79087070743406,0.383563402815904,1
1,67,-1,1,1.63561220243585,1.16698572306082,1.2,1
1,68,-1,1,1.63561220243585,1.16698572306082,0.560843180991279,1
1,69,1,1,1.80763103938176,2.79087070743406,0.608329466760259,1
1,70,1,1,1.80763103938176,2.79087070743406,0.864958639509161,1
1,71,-1,1,1.63561220243585,1.16698572306082,0.885901914810029,1
1,72,1,1,1.80763103938176,2.79087070743406,0.332963713816473,1
1,73,-1,1,1.63561220243585,1.16698572306082,1.76491354039529,1
1,74,-1,1,1.63561220243585,1.16698572306082,0.552200425462618,-1
1,75,-1,-1,1.55895725269786,1.16684116071913,0.431689004377246,1
1,76,1,1,1.80763103938176,2.79087070743406,0.370463089476507,1
1,77,1,1,1.80763103938176,2.79087070743406,1.13889608877212,1
1,78,1,1,1.80763103938176,2.79087070743406,0.479433904953868,1
1,79,1,1,1.80763103938176,2.79087070743406,0.476248308618797,1
1,80,-1,1,1.63561220243585,1.16698572306082,1.10775568010555,1
1,81,-1,1,1.63561220243585,1.16698572306082,0.6429720907031,1
1,82,1,1,1.80763103938176,2.79087070743406,0.322013507694968,1
1,83,1,1,1.80763103938176,2.79087070743406,0.4576371125378,1
1,84,-1,1,1.63561220243585,1.16698572306082,0.536800348961561,1
1,85,1,1,1.80763103938176,2.79087070743406,0.44234339253126,1
1,86,-1,1,1.63561220243585,1.16698572306082,1.16430481332144,1
1,87,1,1,1.80763103938176,2.79087070743406,0.471996903133492,1
1,88,1,1,1.80763103938176,2.79087070743406,0.555749662460569,1
1,89,-1,1,1.63561220243585,1.16698572306082,0.556119028065288,1
1,90,1,1,1.80763103938176,2.79087070743406,0.475038575930374,1
1,91,-1,1,1.63561220243585,1.16698572306082,0.627135127810112,1
1,92,-1,1,1.63561220243585,1.16698572306082,1.62118965769011,1
1,93,1,1,1.80763103938176,2.79087070743406,0.510809663267258,1
1,94,1,1,1.80763103938176,2.79087070743406,0.37710708789343,1
1,95,1,1,1.80763103938176,2.79087070743406,0.665798135617654,1
1,96,-1,1,1.63561220243585,1.16698572306082,0.593553560711639,1
1,97,-1,1,1.63561220243585,1.16698572306082,0.425312143939783,1
1,98,1,1,1.80763103938176,2.79087070743406,0.543862177647462,1
1,99,1,1,1.80763103938176,2.79087070743406,0.384774568302811,1
1,100,-1,1,1.63561220243585,1.16698572306082,0.44428766493042,1
1,101,-1,1,1.63561220243585,1.16698572306082,1.28830587786029,1
2,2,1,1,2.05241628975682,3.54106314476296,0.648978561060561,1
2,3,1,1,2.05241628975682,3.54106314476296,0.789293445694838,1
2,4,-1,1,1.85710305635851,0.983668778205668,0.462506675477286,1
2,5,1,1,2.05241628975682,3.54106314476296,0.398722846707581,1
2,6,1,1,2.05241628975682,3.54106314476296,0.538494048635332,1
2,7,1,1,2.05241628975682,3.54106314476296,0.844683801765772,1
2,8,1,1,2.05241628975682,3.54106314476296,0.663044240431159,1
2,9,1,1,2.05241628975682,3.54106314476296,0.404743234623936,1
2,10,-1,1,1.85710305635851,0.983668778205668,0.986717822648346,1
2,11,1,1,2.05241628975682,3.54106314476296,0.545416820141523,1
2,12,1,1,2.05241628975682,3.54106314476296,1.05077973210789,1
2,13,1,1,2.05241628975682,3.54106314476296,0.762610479836766,1
2,14,1,1,2.05241628975682,3.54106314476296,0.708681077559165,1
2,15,-1,1,1.85710305635851,0.983668778205668,0.851864334435619,1
2,16,1,1,2.05241628975682,3.54106314476296,0.419923519072919,1
2,17,1,1,2.05241628975682,3.54106314476296,0.343098508348662,1
2,18,-1,1,1.85710305635851,0.983668778205668,0.35509882387175,1
2,19,1,1,2.05241628975682,3.54106314476296,0.34113187612107,1
2,20,1,1,2.05241628975682,3.54106314476296,0.366394887704807,1
2,21,-1,1,1.85710305635851,0.983668778205668,0.631036369701897,1
2,22,1,1,2.05241628975682,3.54106314476296,0.311480428652673,1
2,23,1,1,2.05241628975682,3.54106314476296,0.387169784041741,1
2,24,1,1,2.05241628975682,3.54106314476296,0.513777430737234,1
2,25,-1,1,1.85710305635851,0.983668778205668,0.564814974645757,1
2,26,-1,1,1.85710305635851,0.983668778205668,1.86064062098938,1
2,27,1,1,2.05241628975682,3.54106314476296,0.335745695892477,1
2,28,1,1,2.05241628975682,3.54106314476296,0.429224629941325,1
2,29,-1,1,1.85710305635851,0.983668778205668,0.71945413637619,-1
2,30,-1,-1,1.77006766910019,1.01432120559045,0.405608183878739,1
2,31,-1,1,1.85710305635851,0.983668778205668,2.49451245160215,-1
2,32,1,-1,1.95622731091548,1.66094687144092,0.835036530887784,1
2,33,-1,1,1.85710305635851,0.983668778205668,0.658150767791062,-1
2,34,1,-1,1.95622731091548,1.66094687144092,2.05833090296537,1
2,35,1,1,2.05241628975682,3.54106314476296,0.366883463875648,1
2,36,1,1,2.05241628975682,3.54106314476296,0.549815118314602,1
2,37,1,1,2.05241628975682,3.54106314476296,0.506439380780749,1
2,38,-1,1,1.85710305635851,0.983668778205668,2.53931351082078,-1
2,39,-1,-1,1.77006766910019,1.01432120559045,1.64059025186282,1
2,40,-1,1,1.85710305635851,0.983668778205668,1.05805413731417,1
2,41,1,1,2.05241628975682,3.54106314476296,0.531990080075866,1
2,42,-1,1,1.85710305635851,0.983668778205668,0.493990721515659,1
2,43,1,1,2.05241628975682,3.54106314476296,0.546436249527769,1
2,44,-1,1,1.85710305635851,0.983668778205668,0.409375022373784,1
2,45,-1,1,1.85710305635851,0.983668778205668,0.380098308440273,1
2,46,-1,1,1.85710305635851,0.983668778205668,0.845789954258061,1
2,47,1,1,2.05241628975682,3.54106314476296,0.516750989711727,1
2,48,-1,1,1.85710305635851,0.983668778205668,0.4852764157795,1
2,49,-1,1,1.85710305635851,0.983668778205668,0.673349866666567,1
2,50,1,1,2.05241628975682,3.54106314476296,0.462478791580192,1
2,51,-1,1,1.85710305635851,0.983668778205668,0.741622438526906,1
2,52,-1,1,1.85710305635851,0.983668778205668,2.55627601957676,1
2,53,-1,1,1.85710305635851,0.983668778205668,0.660025391347586,1
2,54,1,1,2.05241628975682,3.54106314476296,0.735022428339554,1
2,55,1,1,2.05241628975682,3.54106314476296,0.341858832786757,1
2,56,-1,1,1.85710305635851,0.983668778205668,0.590839603255716,1
2,57,-1,1,1.85710305635851,0.983668778205668,0.641542209125205,-1
