"rep","subj","t0","st0"
1,1,0.218562494420776,0.0655687483262329
1,2,0.186686111973841,0.0560058335921524
1,3,0.189002157317138,0.0567006471951415
1,4,0.213735149511488,0.0641205448534464
1,5,0.21332505302688,0.0639975159080641
1,6,0.1770938117479,0.0531281435243701
1,7,0.213276205400598,0.0639828616201794
1,8,0.17837528350251,0.053512585050753
1,9,0.187738931850156,0.0563216795550468
1,10,0.159324413065915,0.0477973239197745
1,11,0.234791284967703,0.0704373854903109
1,12,0.199095851314259,0.0597287553942778
1,13,0.196218231179211,0.0588654693537634
1,14,0.229803944830204,0.0689411834490612
1,15,0.2142386297745,0.06427158893235
1,16,0.187109564424688,0.0561328693274065
1,17,0.17947931692879,0.0538437950786369
1,18,0.214747749047902,0.0644243247143705
1,19,0.192534542764984,0.0577603628294953
1,20,0.239101803368354,0.0717305410105061
1,21,0.183906302428664,0.0551718907285993
1,22,0.179814262978955,0.0539442788936865
1,23,0.220563648239654,0.0661690944718962
1,24,0.160649240196653,0.0481947720589959
1,25,0.186969949885142,0.0560909849655426
1,26,0.203164806411235,0.0609494419233706
1,27,0.247162505592841,0.0741487516778522
1,28,0.222097854999964,0.0666293564999891
1,29,0.243252212449312,0.0729756637347937
1,30,0.214051883426808,0.0642155650280423
1,31,0.184498761233592,0.0553496283700777
1,32,0.268282482727679,0.0804847448183038
1,33,0.176877663076269,0.0530632989228808
1,34,0.205070610466286,0.0615211831398859
1,35,0.204595189723713,0.0613785569171139
1,36,0.225000149334572,0.0675000448003715
1,37,0.183033765898129,0.0549101297694386
1,38,0.186825064454063,0.0560475193362189
1,39,0.195211000345949,0.0585633001037848
1,40,0.216489856261916,0.0649469568785748
1,41,0.204279870583735,0.0612839611751205
1,42,0.223693365452804,0.0671080096358413
1,43,0.211299177874226,0.0633897533622679
1,44,0.174805666677124,0.0524417000031371
1,45,0.153008878586395,0.0459026635759184
1,46,0.164826991083115,0.0494480973249346
1,47,0.162069514160984,0.0486208542482951
1,48,0.19567755174091,0.0587032655222731
1,49,0.230015539057367,0.0690046617172102
1,50,0.235572926893094,0.0706718780679282
1,51,0.189685685233302,0.0569057055699905
1,52,0.233401704062992,0.0700205112188976
1,53,0.176261817285532,0.0528785451856596
1,54,0.186699682033975,0.0560099046101926
1,55,0.208396926694388,0.0625190780083165
1,56,0.206488008749028,0.0619464026247085
1,57,0.23047698008881,0.0691430940266429
1,58,0.241181646503456,0.0723544939510367
1,59,0.192839671669818,0.0578519015009454
1,60,0.232268568522977,0.0696805705568932
1,61,0.193444382092592,0.0580333146277775
1,62,0.187127316130146,0.0561381948390438
